Annexure II-  Nifty 50 Index : May 2021,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
44,TATAMOTORS,Tata Motors Ltd.,PASSENGER/UTILITY VEHICLES,6640615530,57150.80,0.85,1.66,0.32,2.39,8.47,0.03
45,TATASTEEL,Tata Steel Ltd.,STEEL,11965877200,87551.03,1.30,1.21,0.27,2.89,8.86,0.03
46,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4841300335,63310.27,0.94,0.70,0.17,0.94,6.38,0.03
47,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,66605.05,0.99,0.85,0.26,1.88,7.01,0.02
48,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,1528090912,44839.69,0.67,0.91,0.16,2.50,34.31,0.03
49,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT,2886414540,77448.27,1.15,0.95,0.35,1.21,6.83,0.03
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,10958221110,79744.89,1.18,0.67,0.11,1.59,9.40,0.02
,,,,,6740705.15,,,,,,0.02
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-June-2020 to 31-May-2021,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-June-2020 to 31-May-2021,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-May-2021,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is the weightage average impact cost,,,,,,,,,,,
