Annexure II-  Nifty 50 Index : August 2017,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
45,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9712154390,42758.20,1.14,1.73,0.36,1.81,12.51,0.02
46,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4871539365,26697.59,0.71,0.73,0.08,1.70,10.96,0.02
47,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2745117460,41729.96,1.11,1.18,0.30,1.03,-1.39,0.02
48,VEDL,Vedanta Ltd.,MINING,3717194239,57412.07,1.53,1.76,0.27,2.28,10.38,0.02
49,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,9729725632,37832.09,1.01,0.42,0.06,0.90,3.69,0.02
50,YESBANK,Yes Bank Ltd.,BANKS,4569894450,64090.03,1.71,1.58,0.33,1.27,-3.12,0.02
51,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,960448720,28440.33,0.76,1.29,0.26,1.43,-4.11,0.02
,,,,,3749719.54,,,,,,0.02
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Sep-2016 to 31-Aug 2017,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Sep-2016 to 31-Aug 2017,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Aug 2017,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is the weightage average impact cost,,,,,,,,,,,
