Annexure II- Nifty Next 50 Index : July 2021,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ACC,ACC Ltd.,CEMENT,1877872630,21166.33,1.80,0.88,0.28,1.72,18.83,0.03
2,ABBOTINDIA,Abbott India Ltd.,PHARMACEUTICALS,212493020,8077.81,0.69,0.14,0.02,1.14,13.11,0.05
3,ADANIENT,Adani Enterprises Ltd.,TRADING - MINERALS/ MINING,1099810083,40855.19,3.47,1.38,0.17,1.54,-5.79,0.03
4,ADANIGREEN,Adani Green Energy Ltd.,POWER,15640142800,30901.46,2.62,0.57,0.04,3.00,-21.57,0.51
5,ADANITRANS,Adani Transmission Ltd.,POWER - TRANSMISSION,10998100830,19646.81,1.67,1.04,0.10,3.60,-15.67,1.84
6,ALKEM,Alkem Laboratories Ltd.,PHARMACEUTICALS,239130000,15984.63,1.36,0.28,0.03,1.33,7.95,0.04
7,AMBUJACEM,Ambuja Cements Ltd.,CEMENT,3971290458,31603.00,2.68,0.93,0.27,1.46,20.70,0.03
8,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HOSPITAL,718923285,42489.22,3.61,0.62,0.08,1.45,11.47,0.02
9,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,585938609,26971.05,2.29,0.79,0.17,1.63,-5.04,0.02
10,DMART,Avenue Supermarts Ltd.,DIVERSIFIED RETAIL,6477746910,41714.12,3.54,0.68,0.13,0.80,4.69,0.05
11,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,HOLDING COMPANIES,1112935100,16113.94,1.37,0.55,0.11,1.48,11.31,0.04
12,BANDHANBNK,Bandhan Bank Ltd.,PRIVATE SECTOR BANK,16106691450,20613.24,1.75,1.37,0.31,1.09,-11.81,0.03
13,BERGEPAINT,Berger Paints India Ltd.,PAINTS,971295037,21430.22,1.82,0.77,0.28,1.27,4.78,0.03
14,BIOCON,Biocon Ltd.,PHARMACEUTICALS,6000000000,18431.91,1.57,0.92,0.25,1.46,-4.48,0.03
15,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,13394.36,1.14,0.98,0.23,0.96,-0.38,0.04
16,CADILAHC,Cadila Healthcare Ltd.,PHARMACEUTICALS,1023742595,15693.77,1.33,0.63,0.11,1.26,-9.16,0.03
17,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,23765.02,2.02,0.36,0.09,1.37,1.10,0.03
18,DLF,DLF Ltd.,RESIDENTIAL/COMMERCIAL/SEZ Project,4950630072,21860.59,1.86,1.75,0.41,1.96,20.12,0.04
19,DABUR,Dabur India Ltd.,PERSONAL CARE,1767851627,36664.19,3.11,0.39,0.12,1.14,5.62,0.03
20,GAIL,GAIL (India) Ltd.,GAS TRANSMISSION/MARKETING,44403852250,25931.95,2.20,0.99,0.22,1.11,-6.75,0.03
21,GLAND,Gland Pharma Ltd.,PHARMACEUTICALS,163904723,15456.78,1.31,0.08,0.00,3.19,14.78,0.04
22,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,1022486273,39097.85,3.32,0.45,0.05,1.49,13.51,0.04
23,HDFCAMC,HDFC Asset Management Company Ltd.,ASSET MANAGEMENT COMPANIES,1065342070,16542.22,1.40,0.87,0.28,1.58,-2.17,0.03
24,HAVELLS,Havells India Ltd.,CONSUMER ELECTRONICS,626303067,30761.52,2.61,0.86,0.18,1.53,19.74,0.03
25,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES/MARKETING,14185483450,17441.00,1.48,0.73,0.15,1.93,-10.93,0.02
26,ICICIGI,ICICI Lombard General Insurance Company Ltd.,GENERAL INSURANCE,4546516040,33694.38,2.86,0.72,0.18,1.77,-5.82,0.05
27,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,LIFE INSURANCE,14365076960,25684.19,2.18,0.76,0.18,1.67,3.31,0.04
28,IGL,Indraprastha Gas Ltd.,LPG/CNG/PNG/LNG SUPPLIER,1400001600,20423.62,1.73,0.76,0.15,1.29,0.00,0.04
29,INDUSTOWER,Indus Towers Ltd.,TELECOM - INFRASTRUCTURE,26949369500,18786.38,1.60,0.87,0.11,2.40,-6.93,0.04
30,NAUKRI,Info Edge (India) Ltd.,E-RETAIL/ E-COMMERCE,1287841200,42157.60,3.58,0.77,0.09,2.31,6.08,0.04
31,INDIGO,InterGlobe Aviation Ltd.,AIRLINES,3849100000,16584.78,1.41,1.15,0.23,1.75,-4.05,0.03
