Annexure II- Nifty Next 50 Index : November 2016,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
44,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,5287.07,0.87,1.52,0.32,2.25,-1.16,0.06
45,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,13498.34,2.22,0.94,0.23,2.4,-15.37,0.04
46,TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMACEUTICALS,846113600,6758.31,1.11,0.95,0.22,2.36,-2.78,0.05
47,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,1013835392,23137.95,3.8,1.21,0.27,2.99,-8.94,0.04
48,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,6044.09,0.99,0.47,0.08,1.56,0.64,0.05
49,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,9786.02,1.61,0.7,0.1,2.32,-15.37,0.04
50,VEDL,Vedanta Ltd.,MINING,2964694239,25213.09,4.14,2.43,0.43,3.73,13.48,0.03
,,,,,608466.48,,,,,,0.05
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-December-2015 to 30-November-2016,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-November-2016 to 30-November-2016,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-November-2016,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is the weightage average impact cost,,,,,,,,,,,
