Annexure II-  Nifty 50 Index : Apr 2021,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
44,TATAMOTORS,Tata Motors Ltd.,PASSENGER/UTILITY VEHICLES,6640615530,52686.31,0.83,1.62,0.35,3.02,-2.63,0.09
45,TATASTEEL,Tata Steel Ltd.,STEEL,11965877200,80422.66,1.27,1.19,0.32,2.80,27.36,0.02
46,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4841300335,59514.69,0.94,0.77,0.22,1.59,-3.13,0.03
47,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,62240.51,0.98,0.87,0.30,1.85,-4.26,0.02
48,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,1528090912,33386.34,0.53,0.95,0.19,2.19,-5.45,0.03
49,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT,2886414540,72494.61,1.15,0.96,0.36,2.33,-6.81,0.03
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,10958221110,72895.46,1.15,0.64,0.12,2.64,18.98,0.02
,,,,,6329033.39,,,,,,0.02
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-May-2020 to 30-Apr-2021,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-May-2020 to 30-Apr-2021,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-Apr-2021,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is the weightage average impact cost,,,,,,,,,,,
