Annexure II- Nifty Next 50 Index : December 2016,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,ELECTRICAL EQUIPMENT,423816750,5529.48,0.94,0.57,0.09,0.74,-1.64,0.08
2,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,9028.46,1.54,0.56,0.11,1.18,-1.29,0.03
3,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2845876634,11397.74,1.94,1.19,0.27,1.71,0.75,0.04
4,BAJFINANCE,Bajaj Finance Ltd.,FINANCE,1077443800,17694.75,3.02,1.24,0.22,2.36,-8.44,0.03
5,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795806445,17508.43,2.99,0.86,0.15,2.48,-3.18,0.04
6,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,2233627930,7985.51,1.36,1.05,0.34,1.35,-4.45,0.03
7,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,11185.10,1.91,1.12,0.28,2.12,0.34,0.02
8,BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,240001630,16971.56,2.89,0.81,0.20,1.16,-4.83,0.03
9,CADILAHC,Cadila Healthcare Ltd.,PHARMACEUTICALS,1023742595,9127.94,1.56,0.79,0.14,1.68,-11.21,0.04
10,CASTROLIND,Castrol India Ltd.,PETROCHEMICALS,2472805960,9224.48,1.57,0.79,0.17,1.47,-6.62,0.03
11,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,12055.87,2.06,0.49,0.12,0.63,-3.12,0.04
12,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,9306.54,1.59,0.58,0.10,0.96,-5.12,0.05
13,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,11120.92,1.90,0.73,0.17,1.51,3.79,0.05
14,DLF,DLF Ltd.,CONSTRUCTION,3567955676,4968.38,0.85,2.29,0.46,2.54,-3.13,0.05
15,DABUR,Dabur India Ltd.,PERSONAL CARE,1761520510,15678.94,2.67,0.68,0.16,1.51,-1.90,0.03
16,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,9986.29,1.70,0.72,0.09,5.45,-33.25,0.04
17,EMAMILTD,Emami Ltd.,PERSONAL CARE,226967619,5831.22,0.99,0.43,0.05,1.65,-14.19,0.07
18,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,5891.72,1.00,0.38,0.06,1.05,0.02,0.06
19,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,5780.56,0.99,0.39,0.10,0.74,0.57,0.09
20,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,282168156,13537.38,2.31,0.90,0.21,1.40,1.47,0.03
21,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340600816,19028.74,3.25,1.14,0.33,1.44,3.62,0.04
22,HAVELLS,Havells India Ltd.,ELECTRICAL EQUIPMENT,624855342,8126.56,1.39,1.17,0.29,2.47,-0.61,0.04
23,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,10158817500,21967.12,3.75,1.13,0.25,2.06,-6.35,0.03
24,HINDZINC,Hindustan Zinc Ltd.,METALS,8450638000,6474.88,1.10,0.93,0.15,1.88,-9.62,0.03
25,IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCE - HOUSING,846702744,20095.75,3.43,1.34,0.34,1.54,-15.01,0.04
26,IOC,Indian Oil Corporation Ltd.,REFINERIES,48559049640,33146.65,5.65,1.01,0.25,1.77,5.98,0.03
27,INDIGO,InterGlobe Aviation Ltd.,TRAVEL AND TRANSPORT,3614683630,3266.21,0.56,0.59,0.04,0.95,-4.46,0.03
28,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440,17309.72,2.95,0.83,0.20,1.27,-5.87,0.03
29,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,16947.59,2.89,1.50,0.47,1.34,-0.83,0.02
30,MARICO,Marico Ltd.,PERSONAL CARE,1290171198,13441.00,2.29,0.74,0.18,1.32,3.09,0.04
31,MOTHERSUMI,Motherson Sumi Systems Ltd.,AUTO ANCILLARIES,1403526327,16952.70,2.89,1.79,0.41,1.92,5.37,0.03
32,NHPC,NHPC Ltd.,POWER,1.11E+11,6149.20,1.05,0.96,0.25,1.20,-5.70,0.1
33,NMDC,NMDC Ltd.,MINING,3163890474,9760.60,1.66,1.29,0.23,2.12,1.06,0.05
34,OIL,Oil India Ltd.,OIL EXPLORATION/PRODUCTION,6011359550,6250.79,1.07,0.47,0.11,1.03,7.81,0.03
35,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,425146005,6910.39,1.18,0.52,0.14,0.87,2.30,0.05
36,PIDILITIND,Pidilite Industries Ltd.,CHEMICALS - SPECIALITY,512675330,9071.28,1.55,0.73,0.22,1.33,-7.90,0.04
37,PEL,Piramal Enterprises Ltd.,PHARMACEUTICALS,345126200,13178.29,2.25,0.79,0.10,2.25,-4.03,0.06
38,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,26400814080,10302.65,1.76,1.39,0.29,1.83,-9.13,0.04
39,PGHH,Procter & Gamble Hygiene & Health Care Ltd.,PERSONAL CARE,324607360,6668.65,1.14,0.22,0.02,1.53,7.19,0.14
40,PNB,Punjab National Bank,BANKS,4255936516,8598.59,1.47,1.68,0.32,1.51,-16.43,0.04
41,SHREECEM,Shree Cement Ltd.,CEMENT AND CEMENT PRODUCTS,348372250,12831.77,2.19,1.02,0.22,2.36,-5.38,0.07
42,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2268827360,12392.52,2.11,1.38,0.27,1.88,-5.64,0.04
43,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,712240510,9904.59,1.69,1.09,0.38,1.73,2.33,0.05
44,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,5090.87,0.87,1.51,0.33,1.92,-3.71,0.06
45,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,13636.04,2.33,1.03,0.27,1.86,1.02,0.04
46,TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMACEUTICALS,846113600,6463.86,1.10,0.95,0.22,1.53,-4.36,0.05
47,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,1013835392,23614.25,4.03,1.20,0.26,2.17,2.06,0.04
48,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,5359.04,0.91,0.48,0.08,1.30,-11.33,0.05
49,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,9910.23,1.69,0.69,0.10,1.16,1.27,0.03
50,VEDL,Vedanta Ltd.,MINING,2964694239,23710.29,4.04,2.41,0.43,2.15,-5.96,0.03
,,,,,586372.11,,,,,,0.04
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-January-2016 to 30-December-2016,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-December-2016 to 30-December-2016,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-December-2016,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is the weightage average impact cost,,,,,,,,,,,
