Annexure II- Nifty Next 50 Index : Dec 2022,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
44,SHREECEM,Shree Cement Ltd.,CEMENT,360807480,37133.63,2.68,0.94,0.29,1.41,-2.47,0.03
45,SIEMENS,Siemens Ltd.,POWER EQUIPMENT,712240510,30053.92,2.17,0.92,0.34,1.80,1.85,0.03
46,TATAPOWER,Tata Power Co. Ltd.,POWER,3195339547,42010.73,3.04,1.26,0.36,1.88,-7.61,0.03
47,TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMACEUTICALS,1692227200,16923.22,1.22,0.58,0.14,0.69,-6.58,0.03
48,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1453277430,31225.19,2.26,1.04,0.35,1.14,-5.87,0.03
49,VEDL,Vedanta Ltd.,ALUMINIUM,3717199039,41075.45,2.97,1.22,0.21,2.08,1.33,0.02
50,ZOMATO,Zomato Ltd.,E-RETAIL/ E-COMMERCE,8551744588,10553.44,0.76,1.64,0.18,3.25,-9.12,0.05
,,,,,1383005.93,,,,,,0.05
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Jan-2022 to 30-Dec-2022,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period  01-Jan-2022 to 30-Dec-2022,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-Dec-2022,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is the weightage average impact cost,,,,,,,,,,,
