Annexure II- Nifty Next 50 Index : June 2021,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
44,SBICARD,SBI Cards and Payment Services Ltd.,NBFC,9410280790,16598.56,1.44,0.76,0.14,2.05,-7.14,0.04
45,SIEMENS,Siemens Ltd.,POWER EQUIPMENT,712240510,19071.64,1.66,0.85,0.26,1.08,-3.13,0.03
46,TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMACEUTICALS,846113600,15092.76,1.31,0.39,0.05,1.37,5.85,0.03
47,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,10943.76,0.95,0.59,0.10,2.10,15.39,0.05
48,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1453277430,20893.20,1.81,0.74,0.24,1.08,8.03,0.03
49,VEDL,Vedanta Ltd.,ALUMINIUM,3717196639,35210.87,3.06,0.91,0.12,1.82,-4.14,0.03
50,YESBANK,Yes Bank Ltd.,PRIVATE SECTOR BANK,50109811962,13113.18,1.14,1.05,0.12,2.50,0.37,0.18
,,,,,1151779.29,,,,,,0.10
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-July-2020 to 30-June-2021,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-July-2020 to 30-June-2021,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-June-2021,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is the weightage average impact cost,,,,,,,,,,,
