Annexure II- Nifty Next 50 Index : July 2016,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
45,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,17583.32,2.91,0.62,0.13,1.11,3.73,0.04
46,TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMACEUTICALS,846113600,7068.95,1.17,0.99,0.26,1.53,4.92,0.04
47,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,857208548,18746.94,3.10,1.01,0.20,1.85,13.59,0.03
48,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,5583.15,0.92,0.74,0.17,1.27,8.18,0.04
49,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,12519.39,2.07,0.65,0.10,1.94,-1.83,0.03
50,VEDL,Vedanta Ltd.,MINING,2964694239,18061.07,2.99,2.59,0.47,2.94,24.78,0.03
,,,,,604737.76,,,,,,0.04
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Aug-2015 to 29-July-2016,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-July-2016 to 29-July-2016,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 29-July-2016,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is the weightage average impact cost,,,,,,,,,,,
