Annexure II-  Nifty 50 Index : July 2016,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
45,TATAPOWER,Tata Power Co. Ltd.,POWER,2704629398,13047.13,0.41,1.01,0.33,1.28,-1.84,0.04
46,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9712154390,23793.27,0.75,1.71,0.39,2.39,10.28,0.03
47,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4852014385,30304.52,0.96,0.83,0.23,1.38,-3.52,0.03
48,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2744341340,38775.24,1.23,0.89,0.35,1.00,9.01,0.02
49,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4941426580,35013.22,1.11,0.60,0.24,1.04,-2.31,0.03
50,YESBANK,Yes Bank Ltd.,BANKS,4208229910,39945.40,1.26,1.44,0.47,1.22,9.92,0.02
51,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,960448720,27224.98,0.86,1.13,0.37,1.67,8.94,0.03
,,,,,3160896.32,,,,,,0.02
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Aug-2015 to 29-July-2016,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-July-2016 to 29-July-2016,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 29-July-2016,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is the weightage average impact cost,,,,,,,,,,,
