Annexure II- Nifty Next 50 Index : Feb 2023,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
44,SHREECEM,Shree Cement Ltd.,CEMENT,360807480,41595.67,3.41,0.74,0.15,1.82,10.15,0.03
45,SIEMENS,Siemens Ltd.,POWER EQUIPMENT,712240510,34522.03,2.83,0.85,0.26,1.41,10.94,0.03
46,TATAPOWER,Tata Power Co. Ltd.,POWER,3195339547,40969.06,3.36,1.13,0.30,1.27,-4.86,0.03
47,TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMACEUTICALS,1692227200,15932.78,1.31,0.55,0.15,0.69,-4.07,0.03
48,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1453277430,26352.21,2.16,1.02,0.29,0.97,-3.65,0.03
49,VEDL,Vedanta Ltd.,ALUMINIUM,3717199039,35741.24,2.93,1.32,0.21,1.91,-19.27,0.02
50,ZOMATO,Zomato Ltd.,E-RETAIL/ E-COMMERCE,8551744588,9521.23,0.78,1.49,0.13,3.35,7.54,0.06
,,,,,1219608.998,,,,,,0.23
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Mar-2022 to 28-Feb-2023,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period  01-Mar-2022 to 28-Feb-2023,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 28-Feb-2023,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is the weightage average impact cost,,,,,,,,,,,
