Annexure II- Nifty Next 50 Index : Mar 2022,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
44,SIEMENS,Siemens Ltd.,POWER EQUIPMENT,712240510,23029.26,1.83,0.93,0.29,1.53,0.88,0.03
45,SAIL,Steel Authority of India Ltd.,STEEL,41305252890,15561.62,1.24,1.62,0.27,2.13,2.28,0.03
46,TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMACEUTICALS,846113600,14965.43,1.19,0.51,0.08,1.71,1.53,0.04
47,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1453277430,28907.55,2.30,1.04,0.28,2.69,0.36,0.03
48,VEDL,Vedanta Ltd.,ALUMINIUM,3717199039,49129.68,3.90,1.16,0.16,2.73,6.06,0.03
49,ZOMATO,Zomato Ltd.,E-RETAIL/ E-COMMERCE,7871932776,7886.66,0.63,1.79,0.24,2.98,2.94,0.05
50,ZYDUSLIFE,Zydus Lifesciences Ltd.,PHARMACEUTICALS,1023742595,9742.23,0.77,0.66,0.13,1.69,-3.30,0.04
,,,,,1258701.60,,,,,,0.06
,,,,,,,,,,,
* Beta & R2 are calculated for the period  01-April-2021 to 31-March-2022,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period   01-April-2021 to 31-March-2022,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-March-2022,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is the weightage average impact cost,,,,,,,,,,,
