Annexure II- Nifty Next 50 Index : February 2016,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
44,SUNDARMFIN,Sundaram Finance Ltd.,FINANCE,1111038600,8239.21,1.70,0.57,0.11,1.87,-10.74,0.17
45,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,5555.58,1.15,1.22,0.42,2.13,-10.56,0.05
46,TATAGLOBAL,Tata Global Beverages Ltd.,TEA AND COFFEE,631129729,4313.33,0.89,1.28,0.43,2.75,-18.14,0.07
47,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,13218.78,2.73,0.54,0.11,2.22,-12.90,0.05
48,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,857208548,11450.38,2.36,1.08,0.22,2.38,-12.70,0.05
49,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,5307.60,1.09,0.97,0.21,1.48,3.91,0.07
50,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,13520.98,2.79,0.96,0.17,3.02,6.52,0.05
,,,,,484823.56,,,,,,0.06
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Mar-2015 to 29-Feb-2016,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Feb-2016 to 29-Feb-2016,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 29-Feb-2016.,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is the weightage average impact cost,,,,,,,,,,,
