Annexure II- Nifty Next 50 Index : Oct 2022,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
44,SHREECEM,Shree Cement Ltd.,CEMENT,360807480,37963.28,2.72,0.95,0.32,1.83,8.12,0.03
45,SIEMENS,Siemens Ltd.,POWER EQUIPMENT,712240510,32571.53,2.33,0.90,0.32,1.48,5.59,0.02
46,TATAPOWER,Tata Power Co. Ltd.,POWER,3195339547,47861.66,3.43,1.29,0.38,1.18,4.39,0.03
47,TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMACEUTICALS,1692227200,20251.49,1.45,0.59,0.13,1.14,5.78,0.03
48,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1453277430,33393.85,2.39,1.10,0.38,2.08,6.42,0.03
49,VEDL,Vedanta Ltd.,ALUMINIUM,3717199039,39158.01,2.80,1.16,0.19,2.15,3.98,0.02
50,ZOMATO,Zomato Ltd.,E-RETAIL/ E-COMMERCE,8548736288,9347.57,0.67,1.55,0.17,2.69,1.20,0.05
,,,,,1396831.53,,,,,,0.03
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Nov-2021 to 31-Oct-2022,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period  01-Nov-2021 to 31-Oct-2022,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Oct-2022,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is the weightage average impact cost,,,,,,,,,,,
