Annexure II-  Nifty 50 Index : Jul 2022,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
44,TATAMOTORS,Tata Motors Ltd.,PASSENGER/UTILITY VEHICLES,6641824616,80626.44,1.07,1.64,0.39,1.46,9.18,0.02
45,TATASTEEL,Tata Steel Ltd.,STEEL,12221189640,86790.00,1.15,1.35,0.31,2.37,24.10,0.03
46,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4862101915,66282.36,0.88,1.17,0.40,1.59,4.87,0.02
47,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,98141.52,1.30,1.17,0.40,1.58,21.16,0.02
48,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,1501215282,40051.82,0.53,0.86,0.25,1.34,17.19,0.02
49,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT,2886708470,75571.72,1.00,0.94,0.36,1.51,16.72,0.02
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,10964675960,62717.40,0.83,1.05,0.42,1.41,1.84,0.02
,,,,,7524511.70,,,,,,0.02
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Aug-2021 to 29-July-2022,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period  01-Aug-2021 to 29-July-2022,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 29-July-2022,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is the weightage average impact cost,,,,,,,,,,,
