"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Dec-2011","EQ","308.00","315.00","304.60","304.30","314.90","314.25","310.29","372.35","249.30","13,36,735","41,47,79,564.00","23,908"
"29-Dec-2011","EQ","312.55","314.80","301.35","314.15","307.15","304.30","308.30","372.35","249.30","17,62,414","54,33,47,850.35","28,267"
"28-Dec-2011","EQ","325.00","325.00","312.60","323.50","313.90","314.15","317.01","372.35","249.30","12,12,072","38,42,34,667.05","28,418"
"27-Dec-2011","EQ","323.00","328.25","321.10","322.80","322.00","323.50","324.42","372.35","249.30","13,10,719","42,52,18,339.20","22,765"
"26-Dec-2011","EQ","318.00","324.75","316.00","317.40","323.00","322.80","322.50","372.35","249.30","8,90,325","28,71,30,145.95","17,516"
"23-Dec-2011","EQ","317.00","319.50","313.50","315.80","315.00","317.40","317.26","372.35","249.30","13,60,167","43,15,32,233.45","15,871"
"22-Dec-2011","EQ","320.00","320.00","315.00","320.35","315.20","315.80","315.94","372.35","249.30","13,17,791","41,63,40,145.20","24,035"
"21-Dec-2011","EQ","317.00","322.00","315.00","310.70","321.00","320.35","318.40","372.35","249.30","15,78,253","50,25,19,339.35","27,489"
"20-Dec-2011","EQ","310.50","314.75","306.10","309.85","311.60","310.70","310.48","372.35","249.30","18,84,654","58,51,47,308.00","37,797"
"19-Dec-2011","EQ","297.70","311.10","291.25","297.70","309.80","309.85","302.32","372.35","249.30","16,42,144","49,64,55,845.80","27,127"
"16-Dec-2011","EQ","305.00","309.85","295.00","300.95","298.80","297.70","304.36","372.35","249.30","34,21,950","1,04,15,16,776.00","43,244"
"15-Dec-2011","EQ","300.00","303.40","292.20","309.00","301.10","300.95","297.96","372.35","249.30","34,91,260","1,04,02,58,400.15","44,104"
"14-Dec-2011","EQ","309.90","316.00","307.50","307.65","309.00","309.00","312.14","372.35","249.30","23,90,843","74,62,80,793.10","42,127"
"13-Dec-2011","EQ","299.05","309.40","294.70","300.90","307.70","307.65","303.67","372.35","249.30","10,97,749","33,33,48,919.85","17,974"
"12-Dec-2011","EQ","309.90","310.45","298.25","306.65","300.10","300.90","303.13","372.35","249.30","10,38,299","31,47,35,684.40","22,059"
"09-Dec-2011","EQ","312.00","314.50","302.75","310.30","305.85","306.65","308.73","372.35","249.30","20,40,351","62,99,10,963.25","44,314"
"08-Dec-2011","EQ","323.70","324.20","308.60","321.90","310.10","310.30","315.02","372.35","249.30","13,42,430","42,28,94,300.80","31,187"
"07-Dec-2011","EQ","325.00","328.90","318.50","321.85","319.40","321.90","326.29","372.35","249.30","24,37,959","79,54,73,949.45","39,985"
