Annexure II- Nifty Next 50 Index : July 2017,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,ELECTRICAL EQUIPMENT,423816750,7528.05,1.07,0.57,0.05,0.88,-2.04,0.06
2,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2845876634,15581.17,2.21,1.37,0.23,2.1,16.68,0.03
3,BAJFINANCE,Bajaj Finance Ltd.,FINANCE,1099780180,36524.19,5.18,1.9,0.31,1.46,24.03,0.03
4,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795806445,30191.35,4.28,1.26,0.18,1.48,21.2,0.04
5,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,2233627930,12776.35,1.81,0.98,0.19,1.1,10.65,0.02
6,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,13140.43,1.86,1.25,0.17,1.03,7.24,0.03
7,BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,240001630,23059.16,3.27,0.88,0.17,0.69,6.27,0.03
8,CADILAHC,Cadila Healthcare Ltd.,PHARMACEUTICALS,1023742595,13913.94,1.97,1.04,0.09,1.67,3.52,0.03
9,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,271985634,14387.48,2.04,0.54,0.09,0.83,-2.82,0.03
10,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,2437177390,12544.94,1.78,0.43,0.04,0.89,-0.19,0.04
11,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,13416.41,1.9,0.88,0.13,1.72,7.39,0.04
12,DLF,DLF Ltd.,CONSTRUCTION,3568012840,8623.44,1.22,2.17,0.27,1.4,1.39,0.03
13,DABUR,Dabur India Ltd.,PERSONAL CARE,1761520510,17474.28,2.48,0.71,0.16,0.85,6.13,0.03
14,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,8574.42,1.22,0.91,0.05,2.71,3.96,0.03
15,EMAMILTD,Emami Ltd.,PERSONAL CARE,226967619,6790.58,0.96,0.91,0.12,0.76,3.03,0.06
16,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,6440.81,0.91,0.47,0.08,0.76,2.17,0.07
17,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,5084.19,0.72,0.16,0.01,0.97,-4.34,0.09
18,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,282168156,10424.32,1.48,0.95,0.12,1.31,10.15,0.03
19,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,681201632,26143.33,3.71,1.14,0.2,1.55,7.14,0.04
