Annexure II-  CNX Nifty Index : December  2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for December 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost December 2013
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
49,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,"2,742,156,070.00","17,919.90",0.866625992,0.873708857,0.291514574,1.393302427,-7.532236083,0.08
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,"4,930,673,852.00","36,523.13",1.766298689,0.263950716,0.023812145,1.380210925,18.77655055,0.06
,,,,,2067778,,,,,,0.06
,,,,,,,,,,,
* Beta & R2 are calculated for the period 31-Dec-2012 to 31-Dec-2013,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Dec-2013 to 31-Dec-2013,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Dec-2013,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty is the weightage average impact cost,,,,,,,,,,,
