Annexure II- Nifty Next 50 Index : January 2016,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
44,SUNDARMFIN,Sundaram Finance Ltd.,FINANCE,1111038600,9271.60,1.78,0.62,0.12,1.90,-1.16,0.15
45,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,6212.97,1.19,1.21,0.39,2.15,-11.98,0.05
46,TATAGLOBAL,Tata Global Beverages Ltd.,TEA AND COFFEE,631129729,5234.91,1.00,1.22,0.41,2.58,-13.47,0.06
47,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,15158.23,2.91,0.51,0.09,2.09,4.77,0.04
48,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,857208548,13152.79,2.52,1.06,0.19,2.97,-0.22,0.05
49,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,5174.05,0.99,1.11,0.23,1.41,-18.45,0.06
50,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,12610.53,2.42,0.93,0.16,2.43,-16.81,0.05
,,,,,521425.91,,,,,,0.05
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Feb-2016 to 29-Jan-2016,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Jan-2016 to 29-Jan-2016,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 29-Jan-2016,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is the weightage average impact cost,,,,,,,,,,,
