Annexure II- Nifty Next 50 Index : December 2015,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
45,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,7058.72,1.25,1.12,0.36,1.58,-4.15,0.03
46,TATAGLOBAL,Tata Global Beverages Ltd.,TEA AND COFFEE,631129729,6050.15,1.07,1.11,0.38,1.59,6.29,0.05
47,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,14468.46,2.56,0.49,0.08,1.45,-9.08,0.04
48,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,857208548,13181.37,2.33,0.94,0.15,1.69,5.38,0.03
49,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,6344.85,1.12,1.05,0.2,1.53,-0.11,0.05
50,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,15159.55,2.68,0.86,0.14,1.83,-4.02,0.03
,,,,,566144.28,,,,,,0.04
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Jan-2015 to 31-Dec-2015,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Dec-2015 to 31-Dec-2015,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Dec-2015,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is the weightage average impact cost,,,,,,,,,,,
