Annexure II- CNX Nifty Jr. Index : September 2015,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
44,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2268827360,13429.83,2.45,0.92,0.15,2.7,13.78,0.05
45,SUNDARMFIN,Sundaram Finance Ltd.,FINANCE,1111038600,10452.97,1.91,0.61,0.12,1.78,5.77,0.15
46,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,6712.33,1.23,1.13,0.37,1.74,-4.51,0.04
47,TATAGLOBAL,Tata Global Beverages Ltd.,TEA AND COFFEE,630622680,5284.46,0.96,1.1,0.4,1.93,6.86,0.06
48,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,13247.3,2.42,0.6,0.11,1.53,-5.91,0.06
49,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,5869.2,1.07,1.13,0.21,2.25,3.14,0.07
50,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,857208548,13789.14,2.52,1.02,0.18,2.45,-8.81,0.04
,,,,,547703.87,,,,,,0.06
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Oct-2014 to 30-Sep-2015,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Sep-2015 to 30-Sep-2015,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-Sep-2015,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is the weightage average impact cost,,,,,,,,,,,
