Date,Day,Holiday
29-April-2019,Monday,General Elections (Lok Sabha)
1-May-2019,Wednesday,Maharashtra Day
5-June-2019,Wednesday,Id-ul-Fitr (Ramzan ID)
12-August-2019,Monday,Bakri Id / Eid ul-Adha
15-August-2019,Thursday,Independence Day
2-September-2019,Monday,Ganesh Chaturthi
10-September-2019,Tuesday,Moharram
2-October-2019,Wednesday,Mahatma Gandhi Jayanti
8-October-2019,Tuesday,Dussehra
21-October-2019,Monday,Maharashtra Assembly Election
28-October-2019,Monday,Diwali-Balipratipada
12-November-2019,Tuesday,Gurunanak Jayanti
25-December-2019,Wednesday,Christmas
21-February-2020,Friday,Mahashivratri
10-March-2020,Tuesday,Holi
2-April-2020,Thursday,Ram Navami
6-April-2020,Monday,Mahavir Jayanti
10-April-2020,Friday,Good Friday
14-April-2020,Tuesday,Dr.Baba Saheb Ambedkar Jayanti
1-May-2020,Friday,Maharashtra Day
25-May-2020,Monday,Id-Ul-Fitr (Ramzan Id)
2-October-2020,Friday,Mahatma Gandhi Jayanti
16-November-2020,Monday,Diwali Balipratipada
30-November-2020,Monday,Gurunanak Jayanti
25-December-2020,Friday,Christmas
26-January-2021,Tuesday,Republic Day
11-March-2021,Thursday,Mahashivratri
29-March-2021,Monday,Holi
2-April-2021,Friday,Good Friday
14-April-2021,Wednesday,Dr.Baba Saheb Ambedkar Jayanti
21-April-2021,Wednesday,Ram Navami
13-May-2021,Thursday,Id-Ul-Fitr (Ramzan Id)
21-July-2021,Wednesday,Bakri Id
19-August-2021,Thursday,Muharram
10-September-2021,Friday,Ganesh Chaturthi
15-October-2021,Friday,Dussehra
4-November-2021,Thursday,Diwali Laxmi Puja
5-November-2021,Friday,Diwali Balipratipada
19-November-2021,Friday,Gurunanak Jayanti
26-January-2022,Wednesday,Republic Day
1-March-2022,Tuesday,Mahashivratri
18-March-2022,Friday,Holi
14-April-2022,Thursday,Mahavir Jayanti / Dr.Baba Saheb Ambedkar Jayanti
15-April-2022,Friday,Good friday
3-May-2022,Tuesday,Id-Ul-Fitr (Ramzan Id)
9-August-2022,Tuesday,Muharram
15-August-2022,Monday,Independence Day
31-August-2022,Wednesday,Ganesh Chaturthi
5-October-2022,Wednesday,Dussehra
24-October-2022,Monday,Diwali Laxmi Pujan
26-October-2022,Wednesday,Diwali Balipratipada
8-November-2022,Tuesday,Gurunanak Jayanti
26-January-2023,Thursday,Republic Day
7-March-2023,Tuesday,Holi
30-March-2023,Thursday,Ram Navami
4-April-2023,Tuesday,Mahavir Jayanti
7-April-2023,Friday,Good Friday
14-April-2023,Friday,Dr. Baba Saheb Ambedkar Jayanti
1-May-2023,Monday,Maharashtra Day
29-June-2023,Thursday,Bakri Id
29-July-2023,Saturday,Moharram
15-August-2023,Tuesday,Independence Day
19-September-2023,Tuesday,Ganesh Chaturthi
2-October-2023,Monday,Mahatma Gandhi Jayanti
24-October-2023,Tuesday,Dussehra
14-November-2023,Tuesday,Diwali-Balipratipada
27-November-2023,Monday,Gurunanak Jayanti
25-December-2023,Monday,Christmas
22-January-2024,Monday,Ram Mandir Pran Pratishtha 
26-January-2024,Friday,Republic Day
8-March-2024,Friday,Maha Shivratri
25-March-2024,Monday,Holi
29-March-2024,Friday,Good Friday
11-April-2024,Thursday,Id-Ul-Fitr (Ramadan Eid)
17-April-2024,Wednesday,Shri Ram Navmi
1-May-2024,Wednesday,Maharashtra Day
17-June-2024,Monday,Bakri Id / Eid ul-Adha
17-July-2024,Wednesday,Moharram
15-August-2024,Thursday,Independence Day
2-October-2024,Wednesday,Mahatma Gandhi Jayanti
1-November-2024,Friday,Diwali – Laxmi Pujan
15-November-2024,Friday,Gurunanak Jayanti
25-December-2024,Wednesday,Christmas
