Sr. No,Security Symbol,Security Name,Industry,Equity,Market Capitalisation,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost,Market Capitalisation Type,Year,Month
45,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1957220996,38035.02,2.47,0.81,0.27,0.06,1.47,0.07,Free,2010,Jun
46,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5064818640,24839.43,1.62,1.48,0.42,0.16,2.22,0.06,Free,2010,Jun
47,TATAPOWER,Tata Power Co. Ltd.,POWER,2373072360,21355.34,1.39,0.79,0.35,0.09,1.44,0.06,Free,2010,Jun
48,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,8873890170,29600.39,1.93,1.68,0.59,-0.11,2.5,0.06,Free,2010,Jun
49,UNITECH,Unitech Ltd.,CONSTRUCTION,4877602094,9973.63,0.65,1.81,0.53,0.14,2.35,0.08,Free,2010,Jun
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4896962044,19261.88,1.25,0.77,0.31,-0.19,1.64,0.08,Free,2010,Jun
1,ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,"423,816,750"," 8,424 ",0.55%,0.81,0.38,1.56 ,4.46 ,0.06,Free,2010,Mar
2,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,"1,877,448,660"," 9,605 ",0.63%,0.8,0.38,1.51 ,3.03 ,0.06,Free,2010,Mar
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,"3,047,422,760"," 9,783 ",0.64%,0.76,0.32,1.67 ,12.06 ,0.09,Free,2010,Mar
4,AXISBANK,Axis Bank Ltd.,BANKS,"4,045,188,410"," 28,836 ",1.89%,1.18,0.56,1.55 ,3.89 ,0.06,Free,2010,Mar
5,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,"37,972,551,960"," 38,170 ",2.50%,0.96,0.35,1.75 ,11.88 ,0.07,Free,2010,Mar
6,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,"4,895,200,000"," 37,775 ",2.48%,0.93,0.58,1.14 ,1.76 ,0.05,Free,2010,Mar
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,"3,615,421,240"," 6,694 ",0.44%,0.45,0.12,1.64 ,(8.14),0.07,Free,2010,Mar
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,"18,967,726,520"," 13,149 ",0.86%,0.94,0.46,1.74 ,14.88 ,0.07,Free,2010,Mar
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,"1,605,842,714"," 17,169 ",1.13%,0.51,0.2,1.53 ,7.02 ,0.08,Free,2010,Mar
10,DLF,DLF Ltd.,CONSTRUCTION,"3,394,698,660"," 11,195 ",0.73%,1.64,0.56,1.92 ,3.50 ,0.06,Free,2010,Mar
11,GAIL,GAIL (India) Ltd.,GAS,"12,684,774,000"," 18,446 ",1.21%,0.66,0.31,1.36 ,2.96 ,0.06,Free,2010,Mar
12,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,"916,820,010"," 19,226 ",1.26%,0.8,0.41,0.90 ,4.39 ,0.06,Free,2010,Mar
13,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,"1,348,995,968"," 7,604 ",0.50%,1.11,0.37,1.25 ,(2.37),0.07,Free,2010,Mar
14,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,"2,864,729,030"," 68,753 ",4.51%,1.16,0.59,1.46 ,8.67 ,0.06,Free,2010,Mar
15,HDFCBANK,HDFC Bank Ltd.,BANKS,"4,565,787,350"," 67,211 ",4.41%,0.78,0.55,1.29 ,13.42 ,0.06,Free,2010,Mar
16,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,"399,375,000"," 17,488 ",1.15%,0.78,0.35,1.82 ,9.38 ,0.04,Free,2010,Mar
17,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,"1,913,434,307"," 23,556 ",1.54%,1.29,0.46,2.16 ,11.44 ,0.07,Free,2010,Mar
18,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,"2,181,441,805"," 25,071 ",1.64%,0.38,0.14,1.97 ,1.42 ,0.06,Free,2010,Mar
19,ICICIBANK,ICICI Bank Ltd.,BANKS,"11,141,592,990"," 106,124 ",6.96%,1.41,0.66,1.34 ,9.21 ,0.06,Free,2010,Mar
20,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,"31,000,952,090"," 10,347 ",0.68%,1.08,0.45,2.16 ,7.20 ,0.08,Free,2010,Mar
21,IDFC,Infrastructure Development Finance Co. Ltd.,FINANCIAL INSTITUTION,"12,965,767,610"," 15,080 ",0.99%,1.41,0.55,1.50 ,0.85 ,0.06,Free,2010,Mar
22,INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,"2,867,676,165"," 125,945 ",8.26%,0.68,0.36,1.28 ,0.54 ,0.04,Free,2010,Mar
23,ITC,I T C Ltd.,CIGARETTES,"3,804,402,880"," 68,261 ",4.48%,0.61,0.28,1.30 ,13.26 ,0.06,Free,2010,Mar
24,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,"931,234,082"," 27,117 ",1.78%,1.12,0.49,1.58 ,11.18 ,0.06,Free,2010,Mar
25,JPASSOCIAT,Jaiprakash Associates Ltd.,DIVERSIFIED,"4,249,240,490"," 17,137 ",1.12%,1.66,0.34,2.24 ,13.17 ,0.07,Free,2010,Mar
26,LT,Larsen & Toubro Ltd.,ENGINEERING,"1,203,551,440"," 98,141 ",6.43%,1.27,0.69,1.15 ,4.25 ,0.06,Free,2010,Mar
27,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,"5,784,344,780"," 22,735 ",1.49%,1.27,0.55,2.17 ,7.44 ,0.08,Free,2010,Mar
28,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,"1,444,550,300"," 18,758 ",1.23%,0.71,0.32,1.40 ,(2.88),0.06,Free,2010,Mar
29,NTPC,NTPC Ltd.,POWER,"82,454,644,000"," 17,944 ",1.18%,0.61,0.44,1.07 ,2.07 ,0.05,Free,2010,Mar
30,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,"21,388,725,300"," 37,059 ",2.43%,0.83,0.45,0.91 ,(1.69),0.05,Free,2010,Mar
31,PNB,Punjab National Bank,BANKS,"3,153,025,000"," 13,476 ",0.88%,0.85,0.48,1.11 ,12.40 ,0.05,Free,2010,Mar
32,POWERGRID,Power Grid Corporation of India Ltd.,POWER,"42,088,412,300"," 6,150 ",0.40%,0.8,0.53,1.03 ,(0.37),0.07,Free,2010,Mar
33,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,"2,102,616,230"," 7,213 ",0.47%,0.82,0.26,1.32 ,1.06 ,0.05,Free,2010,Mar
34,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,"10,320,134,405"," 11,398 ",0.75%,1.39,0.56,1.27 ,7.87 ,0.07,Free,2010,Mar
35,RELCAPITAL,Reliance Capital Ltd.,FINANCE,"2,456,328,000"," 8,638 ",0.57%,1.6,0.62,0.95 ,(3.87),0.05,Free,2010,Mar
36,RELIANCE,Reliance Industries Ltd.,REFINERIES,"32,865,368,610"," 181,677 ",11.91%,1.11,0.69,1.55 ,9.73 ,0.05,Free,2010,Mar
37,RELINFRA,Reliance Infrastructure Ltd.,POWER,"2,252,702,620"," 14,011 ",0.92%,1.42,0.61,1.26 ,(0.44),0.06,Free,2010,Mar
38,RPOWER,Reliance Power Ltd.,POWER,"23,968,000,000"," 5,452 ",0.36%,1.01,0.49,1.48 ,8.22 ,0.06,Free,2010,Mar
39,SAIL,Steel Authority of India Ltd,STEEL AND STEEL PRODUCTS,"41,304,005,450"," 14,792 ",0.97%,1.29,0.61,1.87 ,15.58 ,0.06,Free,2010,Mar
40,SBIN,State Bank of India,BANKS,"6,348,802,220"," 53,550 ",3.51%,1.16,0.62,0.84 ,5.26 ,0.04,Free,2010,Mar
41,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,"674,320,400"," 11,185 ",0.73%,1.15,0.58,1.46 ,8.17 ,0.06,Free,2010,Mar
42,STER,Sterlite Industries (India) Ltd.,METALS,"1,680,783,722"," 34,272 ",2.25%,1.37,0.53,1.12 ,8.69 ,0.06,Free,2010,Mar
43,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,"1,035,581,955"," 13,468 ",0.88%,0.65,0.22,1.69 ,16.39 ,0.06,Free,2010,Mar
44,SUZLON,Suzlon Energy Ltd.,ELECTRICAL EQUIPMENT,"3,113,463,486"," 5,248 ",0.34%,1.53,0.42,2.04 ,0.00 ,0.06,Free,2010,Mar
45,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,"4,798,384,120"," 20,574 ",1.35%,1.23,0.36,3.23 ,6.54 ,0.05,Free,2010,Mar
46,TATAPOWER,Tata Power Co. Ltd.,POWER,"2,373,061,350"," 22,473 ",1.47%,0.76,0.44,1.79 ,13.23 ,0.06,Free,2010,Mar
47,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,"8,873,890,170"," 38,599 ",2.53%,1.4,0.5,1.69 ,10.05 ,0.05,Free,2010,Mar
48,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,"1,957,220,996"," 39,229 ",2.57%,0.83,0.38,1.26 ,2.47 ,0.06,Free,2010,Mar
49,UNITECH,Unitech Ltd.,CONSTRUCTION,"4,777,602,094"," 9,873 ",0.65%,1.7,0.49,1.67 ,2.29 ,0.07,Free,2010,Mar
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,"2,935,918,878"," 21,084 ",1.38%,0.76,0.35,1.38 ,4.35 ,0.07,Free,2010,Mar
1,ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,423816750,8717.82,0.19,0.86,0.24,5.42,0.52,0.07,Free,2010,May
2,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,187744866,8268.41,0.09,0.92,0.35,1.58,-0.46,0.07,Free,2010,May
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3048338372,8887.39,0.19,0.79,0.26,2.53,-0.47,0.1,Free,2010,May
4,AXISBANK,Axis Bank Ltd.,BANKS,4051741190,30688.98,3.31,1.15,0.45,2.28,-0.12,0.07,Free,2010,May
5,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,37186.01,4.01,0.79,0.42,1.19,-0.27,0.07,Free,2010,May
6,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,3615421240,7509.23,0.81,0.25,0.03,1.56,0.57,0.08,Free,2010,May
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,18987650480,32119.48,1.73,0.6,0.12,2.4,-0.57,0.08,Free,2010,May
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,18971635170,12916.69,1.39,1.06,0.43,2.43,-0.21,0.07,Free,2010,May
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,16187.18,0.35,0.43,0.1,1.86,-0.33,0.08,Free,2010,May
10,DLF,DLF Ltd.,CONSTRUCTION,3394788440,10032.83,0.22,1.74,0.57,2.87,-0.51,0.08,Free,2010,May
11,GAIL,GAIL (India) Ltd.,GAS,12684774000,20377.19,2.2,0.61,0.18,1.36,0.27,0.08,Free,2010,May
12,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1353821440,8268.6,0.18,1.2,0.33,2.61,-0.11,0.1,Free,2010,May
13,HDFCBANK,HDFC Bank Ltd.,BANKS,4577432720,65925.83,7.1,0.68,0.38,1.74,-0.26,0.09,Free,2010,May
14,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,17425.09,0.38,0.64,0.2,0.97,0.06,0.07,Free,2010,May
15,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1913462442,19527.48,0.21,1.74,0.54,3.41,-0.76,0.09,Free,2010,May
16,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2181686781,24821.49,0.27,0.43,0.11,1.45,-0.04,0.08,Free,2010,May
17,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,287327776,70840.35,0.76,0.96,0.44,1.49,-0.03,0.07,Free,2010,May
18,ITC,I T C Ltd.,CIGARETTES,3818176790,73961.66,0.8,0.67,0.24,1.8,0.32,0.08,Free,2010,May
19,ICICIBANK,ICICI Bank Ltd.,BANKS,11145618140,96777.4,10.43,1.4,0.64,2.54,-0.4,0.07,Free,2010,May
20,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,32998377920,3984.44,0.43,0.9,0.23,3.01,-0.86,0.1,Free,2010,May
21,INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,2869125960,128046.5,6.9,0.65,0.31,1.46,-0.13,0.07,Free,2010,May
22,IDFC,Infrastructure Development Finance Co. Ltd.,FINANCIAL INSTITUTION,13011286920,16007.57,1.73,1.36,0.46,2.77,-0.35,0.09,Free,2010,May
23,JPASSOCIAT,Jaiprakash Associates Ltd.,DIVERSIFIED,4249269266,14298.38,0.31,1.82,0.62,2.76,-0.77,0.09,Free,2010,May
24,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,931486088,25227.45,0.27,1.18,0.4,2.87,-0.57,0.09,Free,2010,May
25,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3481652020,13084.71,1.41,1.37,0.57,2.66,0.16,0.09,Free,2010,May
26,LT,Larsen & Toubro Ltd.,ENGINEERING,1205328528,86168.25,1.86,1.1,0.59,2.2,0.07,0.08,Free,2010,May
27,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,2892172390,24400.74,1.31,1.22,0.43,2.72,0.44,0.09,Free,2010,May
28,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1444550300,16362.49,0.88,0.78,0.27,1.39,-0.15,0.06,Free,2010,May
29,NTPC,NTPC Ltd.,POWER,82454644000,25856.06,2.79,0.63,0.34,1.45,-0.11,0.06,Free,2010,May
30,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,21388725300,39380.8,4.24,0.72,0.27,2.63,0.52,0.07,Free,2010,May
31,POWERGRID,Power Grid Corporation of India Ltd.,POWER,42088412300,5928.74,0.64,0.7,0.35,1.35,-0.29,0.07,Free,2010,May
32,PNB,Punjab National Bank,BANKS,3153025000,13339.38,1.44,0.84,0.38,1.79,-0.16,0.08,Free,2010,May
33,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2103341010,6527.12,0.35,0.81,0.23,2.1,-0.12,0.08,Free,2010,May
34,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,7400.61,0.8,1.54,0.61,2.61,-0.55,0.08,Free,2010,May
35,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,9698.69,0.52,1.3,0.39,3.75,-0.51,0.1,Free,2010,May
36,RELIANCE,Reliance Industries Ltd.,REFINERIES,32867018930,176855.11,19.06,1.08,0.53,1.98,0.07,0.08,Free,2010,May
37,RELINFRA,Reliance Infrastructure Ltd.,POWER,2252702620,13770.56,1.48,1.48,0.54,3.49,-0.24,0.09,Free,2010,May
38,RPOWER,Reliance Power Ltd.,POWER,23968000000,5701.83,0.61,1.1,0.45,3.51,-0.13,0.1,Free,2010,May
39,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,674320400,10549.63,0.23,1.27,0.56,2.27,-0.07,0.09,Free,2010,May
40,SBIN,State Bank of India,BANKS,6348802220,58461.17,6.3,1.13,0.54,2.06,-0.05,0.06,Free,2010,May
41,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41304005450,12094.94,1.3,1.38,0.54,2.77,-0.23,0.08,Free,2010,May
42,STER,Sterlite Industries (India) Ltd.,METALS,1680783722,26679.73,0.58,1.46,0.5,3.35,-1.0,0.08,Free,2010,May
43,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,1035581955,12506.17,0.67,0.33,0.05,1.53,0.29,0.08,Free,2010,May
44,SUZLON,Suzlon Energy Ltd.,ELECTRICAL EQUIPMENT,3113479486,4108.88,0.09,1.54,0.33,3.08,-0.92,0.09,Free,2010,May
45,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1957220996,37632.39,0.41,0.76,0.25,2.02,-0.12,0.07,Free,2010,May
46,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5064816780,24089.62,2.6,1.45,0.4,3.46,-0.63,0.07,Free,2010,May
47,TATAPOWER,Tata Power Co. Ltd.,POWER,2373072360,20979.93,2.26,0.78,0.33,1.7,-0.25,0.08,Free,2010,May
48,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,8873890170,30517.69,3.29,1.67,0.55,2.79,-0.97,0.07,Free,2010,May
49,UNITECH,Unitech Ltd.,CONSTRUCTION,4877602094,9738.88,0.21,1.88,0.52,3.4,-0.69,0.09,Free,2010,May
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,2936690224,20117.85,0.43,0.75,0.31,2.12,0.01,0.07,Free,2010,May
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,187744866,9938,0.57,0.66,0.18,1.78,-2.97,0.1,Free,2010,Nov
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3052687722,11529,0.66,0.88,0.21,2.57,-1.3,0.11,Free,2010,Nov
3,AXISBANK,Axis Bank Ltd.,BANKS,4093659750,34967,2.01,1.18,0.47,2,-9.7,0.09,Free,2010,Nov
4,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,21323,1.23,0.67,0.16,1.44,3.0,0.08,Free,2010,Nov
5,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,34825,2.01,0.79,0.39,1.66,-10.6,0.07,Free,2010,Nov
6,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,3615421240,8723,0.5,0.47,0.05,1.91,-10.57,0.09,Free,2010,Nov
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,18987650480,43944,2.53,0.75,0.13,2.33,7.41,0.08,Free,2010,Nov
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,18974549430,13576,0.78,1.02,0.35,2.3,-2.69,0.07,Free,2010,Nov
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,17420,1,0.46,0.09,2.03,-3.73,0.09,Free,2010,Nov
10,DLF,DLF Ltd.,CONSTRUCTION,3394944736,11125,0.64,1.56,0.49,2.98,-15.1,0.1,Free,2010,Nov
11,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,846007875,22465,1.29,0.4,0.07,0.83,6.42,0.07,Free,2010,Nov
12,GAIL,GAIL (India) Ltd.,GAS,12684774000,22077,1.27,0.6,0.16,0.96,-0.15,0.08,Free,2010,Nov
13,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1364564696,9587,0.55,0.96,0.25,1.72,-0.99,0.08,Free,2010,Nov
14,HDFCBANK,HDFC Bank Ltd.,BANKS,4631855440,80996,4.67,0.87,0.42,1.73,-2.72,0.1,Free,2010,Nov
15,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,18921,1.09,0.51,0.1,1.46,7.85,0.08,Free,2010,Nov
16,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1913538217,26846,1.55,1.81,0.56,2.64,-3.01,0.1,Free,2010,Nov
17,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2182119802,31227,1.8,0.5,0.12,1.38,1.26,0.08,Free,2010,Nov
18,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,2923094230,88889,5.12,1.06,0.46,1.77,-3.38,0.1,Free,2010,Nov
19,ITC,I T C Ltd.,CIGARETTES,7691458190,90659,5.22,0.66,0.23,1.41,0.03,0.08,Free,2010,Nov
20,ICICIBANK,ICICI Bank Ltd.,BANKS,11478647930,131098,7.55,1.48,0.63,2.21,-7.3,0.1,Free,2010,Nov
21,INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,2870173370,147043,8.47,0.79,0.37,1.36,1.64,0.06,Free,2010,Nov
22,IDFC,Infrastructure Development Finance Co. Ltd.,FINANCIAL INSTITUTION,14600772240,19831,1.14,1.28,0.44,2.46,-7.73,0.1,Free,2010,Nov
23,JPASSOCIAT,Jaiprakash Associates Ltd.,DIVERSIFIED,4252866364,12664,0.73,1.6,0.49,3.31,-11.6,0.1,Free,2010,Nov
24,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,933943010,24722,1.42,1.09,0.43,1.58,-9.78,0.09,Free,2010,Nov
25,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3667776730,16701,0.96,1.16,0.41,1.87,1.83,0.13,Free,2010,Nov
26,LT,Larsen & Toubro Ltd.,ENGINEERING,1209896180,103459,5.96,0.97,0.44,1.72,-6.43,0.08,Free,2010,Nov
27,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,2982935375,33865,1.95,1.2,0.37,2.44,-0.16,0.09,Free,2010,Nov
28,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1444550300,18812,1.08,0.66,0.17,1.54,-5.72,0.09,Free,2010,Nov
29,NTPC,NTPC Ltd.,POWER,82454644000,23517,1.35,0.61,0.27,1.11,-4.76,0.07,Free,2010,Nov
30,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,21388725300,41998,2.42,0.63,0.19,1.49,-5.61,0.08,Free,2010,Nov
31,POWERGRID,Power Grid Corporation of India Ltd.,POWER,42088412300,5450,0.31,0.49,0.16,1.91,-5.66,0.07,Free,2010,Nov
32,PNB,Punjab National Bank,BANKS,3153025000,16215,0.93,0.84,0.36,2.26,-7.03,0.1,Free,2010,Nov
33,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2105203465,8710,0.5,0.88,0.26,1.92,-4.95,0.09,Free,2010,Nov
34,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,7347,0.42,1.22,0.44,1.94,-20.99,0.08,Free,2010,Nov
35,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,8782,0.51,1.11,0.23,2.17,-28.19,0.1,Free,2010,Nov
36,RELIANCE,Reliance Industries Ltd.,REFINERIES,32884914220,166864,9.61,1.11,0.53,1.76,-9.84,0.07,Free,2010,Nov
37,RELINFRA,Reliance Infrastructure Ltd.,POWER,2448702620,11838,0.68,1.13,0.37,2.15,-19.52,0.09,Free,2010,Nov
38,RPOWER,Reliance Power Ltd.,POWER,28050826060,8798,0.51,1.04,0.27,3.27,1.2,0.09,Free,2010,Nov
39,SESAGOA,Sesa Goa Ltd.,MINING,859702559,11711,0.67,1.46,0.35,2.08,-6.2,0.08,Free,2010,Nov
40,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,674320400,11637,0.67,0.91,0.31,1.52,-7.08,0.08,Free,2010,Nov
41,SBIN,State Bank of India,BANKS,6349981150,77136,4.44,1.07,0.41,2.74,-6.45,0.06,Free,2010,Nov
42,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41304005450,10347,0.6,1.43,0.49,2.14,-8.61,0.09,Free,2010,Nov
43,STER,Sterlite Industries (India) Ltd.,METALS,3361567444,25587,1.47,1.62,0.52,2.18,-5.62,0.1,Free,2010,Nov
44,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,1035581955,16817,0.97,0.48,0.11,1.46,2.15,0.12,Free,2010,Nov
45,SUZLON,Suzlon Energy Ltd.,ELECTRICAL EQUIPMENT,3490746130,3489,0.2,1.2,0.28,2.95,-18.31,0.1,Free,2010,Nov
46,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1957220996,54732,3.15,0.81,0.25,1.59,2.15,0.08,Free,2010,Nov
47,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5148022840,40039,2.31,1.48,0.41,2.38,5.5,0.08,Free,2010,Nov
48,TATAPOWER,Tata Power Co. Ltd.,POWER,2373072360,20931,1.21,0.71,0.29,1.53,-7.92,0.09,Free,2010,Nov
49,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9023890170,35632,2.05,1.56,0.53,1.89,-1.2,0.06,Free,2010,Nov
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4903991602,21166,1.22,0.94,0.32,1.86,-0.97,0.09,Free,2010,Nov
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,187744866,9953,0.56,0.72,0.21,1.74,-1.86,0.08,Free,2010,Oct
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3051235022,11456,0.64,0.88,0.23,1.73,-1.27,0.11,Free,2010,Oct
3,AXISBANK,Axis Bank Ltd.,BANKS,4084649150,37416,2.1,1.14,0.46,1.73,-6.59,0.07,Free,2010,Oct
4,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,20989,1.18,0.61,0.14,1.08,-2.36,0.08,Free,2010,Oct
5,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,38642,2.17,0.69,0.34,1.47,-5.6,0.06,Free,2010,Oct
6,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,3615421240,9433,0.53,0.37,0.03,1.76,-3.38,0.08,Free,2010,Oct
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,18987650480,39734,2.23,0.64,0.1,1.97,-10.81,0.07,Free,2010,Oct
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,18974549430,13821,0.78,1.01,0.39,1.23,-5.17,0.07,Free,2010,Oct
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,17910,1.01,0.39,0.07,1.31,9.0,0.07,Free,2010,Oct
10,DLF,DLF Ltd.,CONSTRUCTION,3394891336,12717,0.71,1.6,0.51,1.79,-9.64,0.07,Free,2010,Oct
11,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,846007875,20856,1.17,0.42,0.08,2.07,11.79,0.07,Free,2010,Oct
12,GAIL,GAIL (India) Ltd.,GAS,12684774000,22079,1.24,0.67,0.19,1.14,1.38,0.08,Free,2010,Oct
13,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1359997184,9524,0.54,1.05,0.28,1.72,-6.29,0.07,Free,2010,Oct
14,HDFCBANK,HDFC Bank Ltd.,BANKS,4612316900,80304,4.52,0.84,0.43,1.12,-8.83,0.07,Free,2010,Oct
15,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,17800,1,0.59,0.13,1.44,0.92,0.06,Free,2010,Oct
