Annexure II-  Nifty 50 Index : April 2017,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
45,TATAPOWER,Tata Power Co. Ltd.,POWER,2704773510,15276.83,0.44,0.91,0.21,1.12,-6.70,0.04
46,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9712154390,30105.98,0.86,1.62,0.34,1.38,-6.93,0.02
47,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4865912425,25969.18,0.75,1.01,0.20,1.30,-9.19,0.03
48,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2744845080,44318.30,1.27,1.22,0.35,1.29,6.63,0.03
49,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4861764448,31238.05,0.90,0.48,0.11,0.99,-4.16,0.02
50,YESBANK,Yes Bank Ltd.,BANKS,4564858130,59534.88,1.71,1.43,0.37,1.59,5.40,0.02
51,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,960448720,28842.71,0.83,1.05,0.19,1.41,-1.62,0.03
,,,,,3482472.45,,,,,,0.02
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-May-2016 to 28-April-2017,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-April-2016 to 28-April-2017,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 28-April-2017,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is the weightage average impact cost,,,,,,,,,,,
