Annexure II-  Nifty 50 Index : Aug 2021,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
44,TATAMOTORS,Tata Motors Ltd.,PASSENGER/UTILITY VEHICLES,6640615530,51511.92,0.69,1.74,0.36,1.70,-2.26,0.02
45,TATASTEEL,Tata Steel Ltd.,STEEL,12024079180,113346.49,1.53,1.33,0.26,2.72,1.11,0.02
46,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4844943505,89776.42,1.21,0.77,0.18,1.73,19.69,0.02
47,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,80180.58,1.08,0.83,0.25,1.63,12.08,0.03
48,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,1528090912,40777.11,0.55,0.84,0.12,1.32,-8.32,0.02
49,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT,2886544480,90434.86,1.22,1.00,0.36,1.56,2.80,0.03
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,10958447778,94821.53,1.28,0.80,0.18,1.08,9.16,0.02
,,,,,7426816.09,,,,,,0.02
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-September-2020 to 31-August-2021,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-September-2020 to 31-August-2021,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-August-2021,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty 50 is the weightage average impact cost,,,,,,,,,,,
