Annexure II- Nifty Next 50 Index : Aug 2021,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
44,SBICARD,SBI Cards and Payment Services Ltd.,NBFC,9410280790,20601.18,1.66,0.63,0.10,1.42,10.01,0.04
45,SIEMENS,Siemens Ltd.,POWER EQUIPMENT,712240510,21166.36,1.70,0.90,0.27,1.74,16.34,0.03
46,TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMACEUTICALS,846113600,15946.63,1.28,0.50,0.10,1.26,1.13,0.04
47,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,11016.67,0.89,0.60,0.10,1.72,3.25,0.04
48,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1453277430,22290.73,1.79,0.76,0.21,2.39,11.61,0.03
49,VEDL,Vedanta Ltd.,ALUMINIUM,3717196639,40038.24,3.22,1.03,0.12,3.72,0.31,0.03
50,YESBANK,Yes Bank Ltd.,PRIVATE SECTOR BANK,50109811962,11036.99,0.89,1.04,0.19,1.36,-15.29,0.21
,,,,,1244091.48,,,,,,0.11
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-September-2020 to 31-August-2021,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-September-2020 to 31-August-2021,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-August-2021,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is the weightage average impact cost,,,,,,,,,,,
