Annexure II- Nifty Next 50 Index : September 2016,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
44,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,4781.08,0.76,1.49,0.30,3.26,-3.94,0.06
45,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,16485.92,2.64,0.81,0.18,1.97,-5.59,0.03
46,TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMACEUTICALS,846113600,7967.50,1.27,0.97,0.23,1.39,-0.51,0.04
47,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,857208548,20217.05,3.23,1.04,0.18,2.39,5.46,0.03
48,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,6214.58,0.99,0.44,0.06,1.77,11.16,0.04
49,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,12581.37,2.01,0.59,0.07,1.78,6.63,0.03
50,VEDL,Vedanta Ltd.,MINING,2964694239,18872.80,3.02,2.53,0.41,2.32,1.21,0.03
,,,,,625643.84,,,,,,0.04
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-October-2015 to 30-September-2016,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-September-2016 to 30-September-2016,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-September-2016,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is the weightage average impact cost,,,,,,,,,,,
