Annexure II- Nifty Next 50 Index : August 2016,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
44,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,4977.28,0.8,1.5,0.32,1.8,2.66,0.06
45,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,17462.31,2.8,0.63,0.12,1.56,-0.69,0.04
46,TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMACEUTICALS,846113600,8008.73,1.29,0.94,0.2,2.42,13.29,0.05
47,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,857208548,19169.97,3.08,0.92,0.16,1.54,2.26,0.03
48,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,5590.71,0.9,0.48,0.07,1.56,0.14,0.05
49,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,11798.88,1.89,0.54,0.06,2.12,-5.76,0.04
50,VEDL,Vedanta Ltd.,MINING,2964694239,18647.93,2.99,2.53,0.42,2.49,3.25,0.03
,,,,,623022.06,,,,,,0.04
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-September-2015 to 31-August-2016,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-August-2016 to 31-August-2016,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-August-2016,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is the weightage average impact cost,,,,,,,,,,,
