Annexure II- Nifty Next 50 Index : Apr 2022,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
44,SIEMENS,Siemens Ltd.,POWER EQUIPMENT,712240510,22087.45,1.70,0.87,0.26,1.42,-4.09,0.03
45,SAIL,Steel Authority of India Ltd.,STEEL,41305252890,15277.39,1.17,1.55,0.30,2.27,-1.83,0.03
46,TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMACEUTICALS,846113600,15085.50,1.16,0.55,0.09,1.40,0.80,0.03
47,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1453277430,28077.76,2.16,1.03,0.27,1.60,-2.87,0.03
48,VEDL,Vedanta Ltd.,ALUMINIUM,3717199039,49738.70,3.82,1.09,0.14,2.11,1.24,0.02
49,ZOMATO,Zomato Ltd.,E-RETAIL/ E-COMMERCE,7871932776,6875.67,0.53,1.70,0.24,2.27,-12.82,0.04
50,ZYDUSLIFE,Zydus Lifesciences Ltd.,PHARMACEUTICALS,1023742595,9842.87,0.76,0.79,0.21,1.69,1.03,0.04
,,,,,1302127.63,,,,,,0.03
,,,,,,,,,,,
* Beta & R2 are calculated for the period  01-May-2021 to 29-April-2022,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period   01-May-2021 to 29-April-2022,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 29-April-2022,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is the weightage average impact cost,,,,,,,,,,,
