Annexure II-  Nifty 50 Index : Apr 2022,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,PORT,4224746460,61507.24,0.82,1.37,0.34,2.63,10.62,0.03
2,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HOSPITAL,718923285,45473.17,0.61,0.83,0.11,2.15,-1.37,0.02
3,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,145940.41,1.95,0.75,0.20,1.46,5.11,0.02
4,AXISBANK,Axis Bank Ltd.,PRIVATE SECTOR BANK,6139220726,192340.56,2.57,1.11,0.39,1.95,-4.28,0.02
5,BAJAJ-AUTO,Bajaj Auto Ltd.,MOTOR CYCLES/SCOOTERS,2893670200,48564.39,0.65,0.68,0.22,1.85,2.10,0.03
6,BAJFINANCE,Bajaj Finance Ltd.,NBFC,1210858466,177729.32,2.37,1.36,0.46,2.15,-8.10,0.02
7,BAJAJFINSV,Bajaj Finserv Ltd.,GENERAL INSURANCE,795687220,90171.05,1.20,1.31,0.42,1.44,-12.60,0.03
8,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES/MARKETING,21692527440,34609.13,0.46,0.90,0.25,2.27,0.90,0.02
9,BHARTIARTL,Bharti Airtel Ltd.,TELECOM - SERVICES,27460136340,174520.15,2.33,0.81,0.22,1.17,-2.11,0.02
10,BRITANNIA,Britannia Industries Ltd.,CONSUMER FOOD,240868296,38703.50,0.52,0.57,0.20,1.29,2.27,0.02
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1613628072,50665.34,0.68,0.10,0.00,1.49,-3.62,0.02
12,COALINDIA,Coal India Ltd.,INDUSTRIAL MINERALS,61627283270,38313.07,0.51,0.87,0.13,2.92,-0.11,0.03
13,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,57410.02,0.77,0.77,0.21,1.41,2.35,0.03
14,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,832129245,50199.42,0.67,0.60,0.15,1.43,-3.81,0.02
15,EICHERMOT,Eicher Motors Ltd.,MOTOR CYCLES/SCOOTERS,273423102,36679.12,0.49,0.97,0.31,1.68,7.05,0.02
16,GRASIM,Grasim Industries Ltd.,CEMENT,1316590852,63499.90,0.85,1.22,0.45,1.96,1.70,0.03
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,5427330192,114220.20,1.53,0.81,0.26,1.30,-7.26,0.02
18,HDFCBANK,HDFC Bank Ltd.,PRIVATE SECTOR BANK,5544652376,606492.93,8.10,1.13,0.51,3.08,-5.83,0.02
19,HDFCLIFE,HDFC Life Insurance Company Ltd.,LIFE INSURANCE,21125226940,54134.66,0.72,0.96,0.34,2.32,8.21,0.02
20,HEROMOTOCO,Hero MotoCorp Ltd.,MOTOR CYCLES/SCOOTERS,399623882,32555.81,0.43,0.90,0.32,1.87,9.26,0.02
21,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2247172724,70498.86,0.94,1.14,0.21,2.00,-15.25,0.02
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2349591262,199537.39,2.67,0.64,0.22,1.86,9.09,0.02
23,HDFC,Housing Development Finance Corporation Ltd.,HOUSING FINANCE,3618452048,403403.13,5.39,1.30,0.54,3.12,-6.72,0.02
24,ICICIBANK,ICICI Bank Ltd.,PRIVATE SECTOR BANK,13896930854,516479.44,6.90,1.09,0.43,1.05,1.78,0.03
25,ITC,ITC Ltd.,CIGARETTES & RELATED PRODUCTS,12323255932,227093.58,3.03,0.84,0.28,1.60,3.55,0.03
26,INDUSINDBK,IndusInd Bank Ltd.,PRIVATE SECTOR BANK,7746520180,63675.00,0.85,1.36,0.35,1.67,4.61,0.03
27,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,21033693205,573701.76,7.66,0.90,0.37,2.12,-17.79,0.02
28,JSWSTEEL,JSW Steel Ltd.,STEEL,2417220440,70307.27,0.94,1.24,0.31,1.42,-0.75,0.03
29,KOTAKBANK,Kotak Mahindra Bank Ltd.,PRIVATE SECTOR BANK,9921868655,262960.28,3.51,1.14,0.45,1.53,2.10,0.02
